sno,name,p_e,mar_cap_rscr,div_yld,np_qtr_rscr,qtr_profit_var,sales_qtr_rscr,qtr_sales_var,roce,opm,sales_var_3yrs,profit_var_3yrs,3yrs_return,roe_3yr,ebidt_var_3yrs,eps_var_3yrs,sector,annual_revenue_est,annual_profit_est,profit_margin_est,data_limited,risk_score,synergy_score,feasibility_score,attractiveness_score,rank,risk_label,synergy_label,feasibility_label
269,Logiciel Soluti.,7.66,41.91,0.0,5.640000000000001,15.11,60.94,12.32,44.99,39.17,15.105,22.395,14.585,11.58,19.62,16.15,IT - Software,243.76,22.56,9.42,True,3,93.18,96.0,95.41,1,Low Risk,🟢 High Synergy,Highly Feasible
238,Globtier Infotec,6.9,41.51,0.0,3.13,6.35,42.39,2.69,31.11,14.03,11.06,66.57,14.585,32.12,45.02,15.5,IT - Services,169.56,12.52,7.38,False,0,88.81,96.0,95.08,2,Low Risk,🟢 High Synergy,Highly Feasible
221,Handson Global,15.27,74.35,0.0,0.5,-37.5,18.95,239.61,20.13,12.15,30.72,25.5,6.48,15.78,17.08,25.5,IT - Services,75.8,2.0,2.64,False,7,96.5,91.0,93.72,3,Low Risk,🟢 High Synergy,Highly Feasible
252,Edvenswa Enter,6.92,92.35,0.0,1.81,-21.98,29.97,18.79,16.63,11.06,46.65,61.01,-14.31,14.67,73.2,54.48,IT - Software,119.88,7.24,6.04,False,3,90.41,89.0,92.69,4,Low Risk,🟢 High Synergy,Highly Feasible
255,Identixweb,17.16,74.12,0.0,2.19,31.98,5.78,22.72,34.33,64.07,15.105,22.395,14.585,11.58,19.62,16.15,IT - Software,23.12,8.76,37.89,True,7,93.18,91.0,92.56,5,Low Risk,🟢 High Synergy,Highly Feasible
